dataset,route,placement,model,provider,reasoning,n,n_glitch,pct_glitch,ci_lo,ci_hi
random_number,openrouter,user,openai/gpt-5.4,openai,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.4,openai,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.4,azure,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.4,azure,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.2,openai,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.2,openai,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.2,azure,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.2,azure,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.1,openai,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.1,openai,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.1,azure,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.1,azure,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5,openai,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5,openai,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5,azure,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5,azure,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.6-sol,openai,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-sonnet-5,google-vertex,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.6-sol,openai,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.5,openai,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.6-sol,azure,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-sonnet-5,amazon-bedrock,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-5,google-vertex,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-5,azure/us-east-2,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-5,azure/us-east-2,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-5,anthropic,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-5,anthropic,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-5,amazon-bedrock,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-5,amazon-bedrock,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-4.8,google-vertex,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-4.8,google-vertex,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-4.8,azure/us-east-2,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-4.8,azure/us-east-2,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-4.8,anthropic,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-4.8,anthropic,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-4.8,amazon-bedrock,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-4.8,amazon-bedrock,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-4.6,google-vertex,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-4.6,azure/us-east-2,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-4.6,anthropic,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-opus-4.6,amazon-bedrock,none,100,0,0.0,0.0,3.699480747600191
random_number,anthropic-direct,system,claude-opus-4-6,anthropic-direct,none,100,0,0.0,0.0,3.699480747600191
random_number,anthropic-direct,system,claude-opus-4-6,anthropic-direct,low,100,0,0.0,0.0,3.699480747600191
random_number,anthropic-direct,system,claude-opus-4-6,anthropic-direct,budget1638,100,0,0.0,0.0,3.699480747600191
algebra,openrouter,user,anthropic/claude-opus-4.6,google-vertex,none,80,0,0.0,0.0,4.5819736264575095
algebra,openrouter,user,anthropic/claude-opus-4.6,azure/us-east-2,none,80,0,0.0,0.0,4.5819736264575095
algebra,openrouter,user,anthropic/claude-opus-4.6,anthropic,none,80,0,0.0,0.0,4.5819736264575095
random_number,openrouter,system,anthropic/claude-opus-5,google-vertex,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-sonnet-5,amazon-bedrock,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.6-sol,azure,low,99,0,0.0,0.0,3.7354533573962287
random_number,openrouter,system,anthropic/claude-sonnet-5,anthropic,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.5,openai,none,100,0,0.0,0.0,3.699480747600191
algebra,openrouter,user,anthropic/claude-opus-4.6,amazon-bedrock,none,80,0,0.0,0.0,4.5819736264575095
random_number,openrouter,system,openai/gpt-5.5,azure,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.5,azure,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.4,openai,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.4,openai,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.4,azure,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.4,azure,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.2,openai,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.2,openai,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.2,azure,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.2,azure,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.1,openai,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.1,openai,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.1,azure,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5.1,azure,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5,openai,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5,openai,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5,azure,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,openai/gpt-5,azure,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-sonnet-5,google-vertex,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-sonnet-5,google-vertex,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-sonnet-5,azure/us-east-2,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-sonnet-5,azure/us-east-2,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,system,anthropic/claude-sonnet-5,anthropic,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.6-sol,openai,none,100,0,0.0,0.0,3.699480747600191
